Date,Price,Open,High,Low,Vol.,Change %
04/01/2026,4704.26,4724.09,4751.26,4703.95,33.87K,-0.42%
03/31/2026,4724.05,4541.20,4728.20,4510.55,12.47K,3.65%
03/30/2026,4557.50,4520.00,4611.40,4444.70,155.20K,1.08%
03/27/2026,4508.60,4398.10,4568.30,4389.40,5.22K,2.65%
03/26/2026,4392.30,4539.80,4552.20,4366.70,4.51K,-3.86%
03/25/2026,4568.60,4487.90,4616.30,4475.00,3.93K,3.41%
03/24/2026,4418.00,4434.00,4500.00,4330.00,2.85K,-0.13%
03/23/2026,4423.60,4475.00,4542.60,4124.40,4.92K,-4.04%
03/20/2026,4609.60,4689.40,4773.30,4512.10,48.02K,-0.67%
03/19/2026,4640.50,4860.50,4903.30,4539.50,66.19K,-5.93%
03/18/2026,4932.90,5046.60,5058.40,4846.60,47.59K,-2.23%
03/17/2026,5045.60,5049.10,5085.00,5014.40,20.54K,0.12%
03/16/2026,5039.40,5049.30,5082.00,5009.50,32.01K,-0.44%
03/13/2026,5061.70,5084.00,5132.40,5014.10,160.33K,-1.25%
03/12/2026,5125.80,5185.40,5197.80,5058.20,153.53K,-1.03%
03/11/2026,5179.10,5194.00,5230.90,5155.90,140.34K,-1.20%
03/10/2026,5242.10,5152.40,5248.70,5127.10,179.58K,2.71%
03/09/2026,5103.70,5186.70,5210.40,5021.20,181.75K,-1.07%
03/06/2026,5158.70,5099.70,5185.00,5071.00,160.27K,1.58%
03/05/2026,5078.70,5155.70,5204.30,5058.90,151.85K,-1.09%
03/04/2026,5134.70,5110.00,5218.30,5092.80,146.89K,0.21%
03/03/2026,5123.70,5335.70,5394.20,5005.00,273.22K,-3.54%
03/02/2026,5311.60,5360.00,5434.10,5272.90,227.84K,1.21%
02/27/2026,5247.90,5201.90,5299.00,5182.90,151.66K,1.03%
02/26/2026,5194.20,5175.30,5221.90,5144.80,131.63K,-0.26%
02/25/2026,5208.00,5135.60,5214.00,5129.50,1.77K,0.97%
02/24/2026,5157.80,5243.40,5250.00,5091.80,1.51K,-0.95%
02/23/2026,5207.50,5114.00,5236.70,5103.20,1.62K,2.49%
02/20/2026,5080.90,5015.00,5131.00,4999.30,136.74K,1.67%
02/19/2026,4997.40,4993.70,5042.80,4971.50,87.03K,-0.24%
02/18/2026,5009.50,4898.50,5031.90,4868.50,98.20K,2.11%
02/17/2026,4905.90,5050.00,5074.40,4854.20,166.71K,-2.08%
02/16/2026,5010.11,5038.09,5050.60,4985.44,42.20K,-0.57%
02/15/2026,5039.06,5053.00,5070.00,5026.44,,-0.14%
02/13/2026,5046.30,4950.00,5069.10,4907.10,123.02K,1.98%
02/12/2026,4948.40,5107.30,5122.80,4900.00,161.62K,-2.94%
02/11/2026,5098.50,5048.00,5144.50,5036.30,129.97K,1.34%
02/10/2026,5031.00,5084.30,5102.70,5011.00,105.66K,-0.95%
02/09/2026,5079.40,5003.60,5111.10,4988.60,124.15K,2.00%
02/06/2026,4979.80,4800.00,4995.60,4670.00,177.81K,1.85%
02/05/2026,4889.50,4986.60,5045.00,4779.60,234.59K,-1.24%
02/04/2026,4950.80,4966.10,5113.90,4867.70,245.96K,0.32%
02/03/2026,4935.00,4691.00,5018.10,4690.20,260.11K,6.07%
02/02/2026,4652.60,4816.00,4905.60,4423.20,385.98K,-1.95%
